	FID	ID	FIELD	OID_1	YLD00	YLD01	YLD02	YLD03	AVGYLD	ELE	SLOPE	CURV	PRO	PLAN	EC_SH	EC_DP	BAND1	BAND2	BAND3	BAND4	VI00_520	VI00_528	VI00_613	VI00_707	VI00_715	VI00_723	VI00_816	VI00_824	VI00_901	VI00_917	VI01_616	VI01_624	VI01_710	VI01_827	VI01_912	VI02_518	VI02_526	VI02_619	VI02_713	VI02_721	VI02_830	VI02_907	VI02_923	VI03_505	VI03_529	VI03_606	VI03_622	VI03_724	VI03_825	VI03_926	STD00	STD01	STD02	STD03	CV	M3_00	M3_01	M3_02	M3_03	M3_AV	CL_AV	CL_00	CL_01	CL_02	CL_03
181	181	3436	C29	3435	823.5	1324.5	1066.9000244	763	994.5	1080.4	0.1597	0.004313	-0.003249	0.001064	21.2999992	32.5999985	92	85	120	80	-0.1615	-0.197	-0.205	-0.0043	0.1694	0.2526	0.3374	0.3077	0.1813	-0.0228	-0.2174	-0.184	-0.0213	0.3862	0.2195	-0.178743961	-0.226277372	-0.20661157	-0.046413502	0.0050251259999999996	0.226519337	0.09604519800000001	-0.061611374000000003	-0.12244898	-0.24444444399999998	-0.182320442	-0.190243902	0.0050761420000000005	0.031847134	0.010416667	0.95	1.08	0.99	1	0.104	1.0	1.0	1.0	1.0	1.0	2.0	2.0	1.0	1.0	1.0
182	182	3437	C29	3436	786.7999877999999	1125.1999512	961.9000243999999	882	939.0	1080.42	0.1818	-0.00624	0.003905	-0.002334	21.5	31.0	86	84	122	81	-0.1469	-0.1985	-0.2099	-0.0088	0.1732	0.2526	0.375	0.2958	0.1813	-0.028	-0.2121	-0.1952	-0.0044	0.375	0.2118	-0.186602871	-0.21611721600000003	-0.219917012	-0.046413502	0.030927835	0.27567567600000004	0.14772727300000002	-0.024390244	-0.10204081599999999	-0.23636363600000002	-0.182320442	-0.177664975	0.026455026	0.071895425	0.071038251	0.91	0.92	0.9	1	0.022	1.0	1.0	1.0	2.0	1.0	2.0	2.0	2.0	1.0	2.0
183	183	3438	C29	3437	862.4000243999999	1170.5	1071.8000488	1027	1032.8000488	1080.47	0.2106	0.003316	-0.001211	0.002105	20.2999992	30.100000399999995	88	86	121	83	-0.1626	-0.197	-0.205	0.0311	0.1508	0.2169	0.354	0.2788	0.1561	-0.0616	-0.2121	-0.1873	-0.0209	0.4378	0.2139	-0.186602871	-0.223443223	-0.22448979600000002	-0.0781893	0.010309278	0.33695652200000004	0.19540229899999997	-0.009803922	-0.08717948699999999	-0.241877256	-0.169398907	-0.191709845	0.032258065	0.111111111	0.082872928	1.0	0.95	1.0	1	0.068	1.0	2.0	1.0	2.0	1.0	2.0	2.0	2.0	1.0	2.0
184	184	3439	C29	3438	789.7999877999999	1172.8000488	1045.6999512	916	981.0999756000001	1080.49	0.1545	0.004591	-0.002893	0.001698	18.3999996	29.0	88	89	121	83	-0.1717	-0.197	-0.195	0.0583	0.1657	0.2632	0.3711	0.2754	0.1214	-0.0654	-0.2222	-0.2	-0.0209	0.3782	0.2255	-0.186602871	-0.22509225100000002	-0.219512195	-0.09387755099999999	-0.034146341000000004	0.35828877	0.282352941	0.009708738	-0.07216494799999999	-0.233576642	-0.169398907	-0.18556701	0.010638298000000001	0.10526315800000001	0.054347825999999995	0.91	0.95	0.97	1	0.034	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0
185	185	3440	C29	3439	945.7999877999998	1181.3000488	1045.6999512	919	1022.9000243999999	1080.48	0.1728	0.001292	0.001523	0.002815	13.300000199999998	25.0	92	85	122	84	-0.18	-0.1985	-0.1902	0.1121	0.2	0.267	0.3671	0.2611	0.1264	-0.0556	-0.2103	-0.1922	-0.0168	0.4486	0.25	-0.192307692	-0.237037037	-0.21632653100000002	-0.089430894	-0.024875622000000003	0.372972973	0.298245614	0.019607843	-0.051546392	-0.232472325	-0.169398907	-0.178947368	0.0	0.10666666699999999	0.027027027000000002	1.09	0.96	0.97	1	0.06	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0
186	186	3441	C29	3440	889.4000243999999	1142.1999512	1100.9000244000001	808	985.2000122000002	1080.45	0.2268	0.006158	-5e-05	0.006108	14.6000004	24.7000008	84	84	124	86	-0.18	-0.197	-0.1801	0.0868	0.209	0.2872	0.3711	0.2537	0.1561	-0.0654	-0.2155	-0.1873	-0.0209	0.4197	0.2663	-0.190243902	-0.22509225100000002	-0.21632653100000002	-0.057377049000000006	0.035532995	0.343915344	0.271676301	0.034482759	-0.08457711400000001	-0.239130435	-0.178378378	-0.178947368	-0.005464481	0.133333333	0.038251366	1.03	0.93	1.03	1	0.079	2.0	2.0	2.0	1.0	2.0	2.0	2.0	2.0	1.0	2.0
187	187	3442	C29	3441	960.9000243999999	1386.5999755999999	1175.0999755999999	1038	1140.0999755999999	1080.37	0.2322	-0.00246	0.003155	0.000695	13.800000199999998	23.3999996	94	84	129	84	-0.1712	-0.197	-0.195	0.0489	0.1886	0.2947	0.354	0.2404	0.1696	-0.0566	-0.2121	-0.1905	-0.0085	0.4063	0.2537	-0.192118227	-0.22962963	-0.21138211399999998	-0.07630522099999999	0.025641026	0.355555556	0.24137931	0.02970297	-0.06122449	-0.23076923100000002	-0.18279569899999998	-0.174603175	0.0	0.135135135	0.038251366	1.11	1.13	1.1	1	0.013	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0
188	188	3443	C29	3442	922.7000122000002	1133.1999512	1186.4000244000001	1016	1064.5	1080.27	0.252	0.006648	-0.003389	0.003259	14.8999996	25.2999992	86	87	131	83	-0.1781	-0.1939	-0.1852	0.0721	0.1705	0.2766	0.3797	0.2404	0.1364	-0.0727	-0.2052	-0.1843	-0.0211	0.4409	0.2178	-0.18627451	-0.22962963	-0.225806452	-0.072	0.01	0.36898395700000003	0.20441989	0.004878049000000001	-0.060606060999999996	-0.231884058	-0.18279569899999998	-0.18556701	0.016574586000000002	0.099337748	0.038251366	1.0700001000000001	0.92	1.11	1	0.088	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0
189	189	3444	C29	3443	814.7999877999999	1262.0999755999999	1160.6999512	1049	1071.6999512	1080.12	0.3861	0.011771	-0.007691	0.00408	14.3999996	32.5	88	92	132	85	-0.1892	-0.1985	-0.1656	0.1081	0.2135	0.2698	0.3333	0.2367	0.1364	-0.0556	-0.2203	-0.1797	-0.0168	0.3927	0.1792	-0.192307692	-0.23076923100000002	-0.216	-0.083665339	0.004975124	0.354497354	0.294117647	-0.023696682	-0.071428571	-0.247311828	-0.18279569899999998	-0.178947368	0.045454545	0.10067114099999999	0.05027933	0.94	1.03	1.08	1	0.081	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
190	190	3445	C29	3444	675.4000244	1031.9000244	1119.4000244000001	1036	965.5999756000001	1079.91	0.4329	0.005695	-0.000716	0.004979	13.300000199999998	35.5999985	90	93	126	85	-0.189	-0.1939	-0.1951	0.083	0.2179	0.3053	0.358	0.2233	0.1561	-0.0556	-0.2222	-0.1825	-0.0298	0.3854	0.1943	-0.18446601899999998	-0.232472325	-0.220883534	-0.10424710400000001	-0.009708738	0.35416666700000005	0.204545455	-0.037735849	-0.09	-0.237410072	-0.18279569899999998	-0.16923076899999998	-0.048128342000000005	0.125827815	0.06741573	0.78	0.84	1.04	1	0.161	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
