	FID	ID	FIELD	OID_1	YLD00	YLD01	YLD02	YLD03	AVGYLD	ELE	SLOPE	CURV	PRO	PLAN	EC_SH	EC_DP	BAND1	BAND2	BAND3	BAND4	VI00_520	VI00_528	VI00_613	VI00_707	VI00_715	VI00_723	VI00_816	VI00_824	VI00_901	VI00_917	VI01_616	VI01_624	VI01_710	VI01_827	VI01_912	VI02_518	VI02_526	VI02_619	VI02_713	VI02_721	VI02_830	VI02_907	VI02_923	VI03_505	VI03_529	VI03_606	VI03_622	VI03_724	VI03_825	VI03_926	STD00	STD01	STD02	STD03	CV	M3_00	M3_01	M3_02	M3_03	M3_AV	CL_AV	CL_00	CL_01	CL_02	CL_03
0	0	3018	C29	3017	1012.7999877999998	1201.9000244000001	943.5999756000001	1082	1060.0999756	1080.06	0.0879	0.002694	-0.001178	0.001515	14.3999996	38.7000008	96	84	123	82	-0.2174	-0.1848	-0.1341	0.1712	0.2242	0.3089	0.1748	0.2216	0.1667	-0.0435	-0.1963	-0.1837	-0.0185	0.449	0.1856	-0.194690265	-0.21138211399999998	-0.21008403399999998	-0.081545064	0.040462427999999995	0.35911602200000003	0.27380952399999997	0.02617801	-0.042553191	-0.21509434	-0.157303371	-0.13636363599999998	-0.021505376	0.12857142900000001	0.085365854	1.17	0.98	0.88	1	0.144	3.0	3.0	2.0	3.0	3.0	1.0	1.0	1.0	1.0	3.0
1	1	3019	C29	3018	930.0	1352.0	1033.0999756	1202	1129.1999512	1080.08	0.0575	0.001403	-0.000473	0.00093	14.300000199999998	40.9000015	94	91	126	85	-0.2082	-0.1802	-0.1742	0.1378	0.2486	0.3505	0.3377	0.3368	0.25	-0.0192	-0.2124	-0.1803	0.0323	0.468	0.3085	-0.19298245600000002	-0.22007722	-0.22175732199999998	-0.115702479	0.053254438	0.43956044	0.345238095	0.09677419400000001	-0.053763440999999995	-0.220973783	-0.169398907	-0.163841808	-0.010869565	0.144827586	0.144578313	1.08	1.1	0.96	1	0.141	3.0	3.0	2.0	2.0	2.0	1.0	1.0	1.0	1.0	3.0
2	2	3020	C29	3019	902.0	1389.4000244000001	1073.6999512	1196	1140.3000488	1080.1	0.0906	-0.004624	0.004098	-0.000527	13.8999996	36.9000015	92	92	127	83	-0.2014	-0.1802	-0.1625	0.1416	0.2697	0.3571	0.4125	0.3069	0.25	-0.0099	-0.2054	-0.1903	0.055	0.5026	0.3438	-0.189427313	-0.218390805	-0.21702127699999998	-0.1	0.052631579000000005	0.445652174	0.345238095	0.124324324	-0.057591623	-0.219330855	-0.17021276600000002	-0.18435754199999999	-0.016042781000000002	0.140939597	0.111111111	1.04	1.13	1.0	1	0.129	3.0	3.0	2.0	2.0	2.0	1.0	1.0	1.0	1.0	3.0
3	3	3021	C29	3020	931.9000243999999	1348.0999755999999	1042.4000244	1120	1110.5999755999999	1080.13	0.1291	-0.001335	0.001011	-0.000324	14.1000004	37.0999985	96	89	127	84	-0.2041	-0.1826	-0.15	0.1217	0.2849	0.3776	0.475	0.402	0.227	-0.0246	-0.2054	-0.1822	0.0446	0.4826	0.3403	-0.19298245600000002	-0.22137404600000002	-0.215189873	-0.128	0.052631579000000005	0.425531915	0.345238095	0.10416666699999999	-0.071428571	-0.23636363600000002	-0.165775401	-0.169398907	0.005405405	0.12	0.135135135	1.08	1.1	0.97	1	0.098	2.0	3.0	2.0	2.0	2.0	1.0	1.0	1.0	1.0	2.0
4	4	3022	C29	3021	885.0	1301.1999512	978.4000243999999	1119	1070.8000488	1080.18	0.1515	0.002538	-0.001229	0.001309	14.800000199999998	36.0999985	96	89	130	85	-0.2081	-0.181	-0.1553	0.1121	0.2737	0.3604	0.4717	0.4257	0.1976	-0.0099	-0.1964	-0.1873	0.0175	0.4694	0.3093	-0.19298245600000002	-0.218045113	-0.219917012	-0.128	0.01734104	0.387096774	0.321637427	0.09473684199999999	-0.066666667	-0.226277372	-0.183246073	-0.169398907	-0.005291005	0.099337748	0.069767442	1.02	1.0599999	0.91	1	0.124	2.0	2.0	2.0	2.0	2.0	1.0	2.0	1.0	1.0	2.0
5	5	3023	C29	3022	847.2000122000002	1260.3000488	997.7999877999998	1150	1063.9000244	1080.23	0.1427	-0.001117	0.00086	-0.000257	16.0	38.2999992	94	90	130	85	-0.215	-0.1933	-0.1605	0.1043	0.2324	0.3134	0.434	0.3695	0.2093	-0.0152	-0.2	-0.1822	0.0308	0.4154	0.3128	-0.194805195	-0.218045113	-0.214876033	-0.138339921	-0.005586592	0.372340426	0.271676301	0.09189189199999999	-0.076923077	-0.219330855	-0.178947368	-0.160621762	-0.010638298000000001	0.093333333	0.075144509	0.98	1.03	0.93	1	0.136	2.0	2.0	2.0	2.0	2.0	1.0	2.0	1.0	1.0	2.0
6	6	3024	C29	3023	885.0	1176.5999755999999	969.0	1094	1031.0999756	1080.28	0.1591	-0.002258	0.002139	-0.000119	16.399999599999997	39.2999992	94	94	129	85	-0.1987	-0.1724	-0.1707	0.0901	0.2444	0.3198	0.4198	0.3366	0.2169	-0.08	-0.2105	-0.1984	0.0407	0.4632	0.2887	-0.208888889	-0.21969697	-0.226337449	-0.11904761900000001	-0.010752688	0.387096774	0.29069767399999996	0.073684211	-0.051546392	-0.23636363600000002	-0.169398907	-0.18032786899999997	-0.005464481	0.10666666699999999	0.057471264	1.02	0.96	0.9	1	0.12	2.0	2.0	2.0	2.0	2.0	1.0	2.0	1.0	1.0	2.0
7	7	3042	C29	3041	1062.0999756	1201.5	1146.0	1363	1193.0999755999999	1079.95	0.0618	-0.003161	0.00015	-0.003011	22.6000004	61.0	90	82	103	74	-0.1898	-0.1814	-0.1429	0.1535	0.3099	0.3978	0.5256	0.3711	0.2532	-0.0256	-0.1881	-0.179	0.0235	0.4742	0.2698	-0.19298245600000002	-0.217054264	-0.210762332	-0.033175355	0.12883435599999998	0.41899441299999995	0.33734939799999997	0.112359551	-0.04	-0.23809523800000001	-0.170454545	-0.148648649	0.011764706000000002	0.21126760600000002	0.132075472	1.23	0.98	1.0700001000000001	1	0.215	1.0	3.0	3.0	2.0	1.0	3.0	1.0	3.0	3.0	3.0
8	8	3043	C29	3042	858.9000243999999	1266.0999755999999	1073.5999756	1317	1128.9000244000001	1079.99	0.1351	-0.008512	0.005821	-0.002691	17.3999996	50.5999985	90	81	111	78	-0.2028	-0.1705	-0.141	0.1607	0.3029	0.375	0.4581	0.3918	0.1707	-0.0417	-0.1946	-0.1688	0.0326	0.4167	0.3158	-0.189427313	-0.21875	-0.21551724100000003	-0.048888889000000005	0.083333333	0.453551913	0.36144578299999996	0.131428571	-0.032608696	-0.22779922800000002	-0.164835165	-0.13924050599999999	0.045454545	0.177304965	0.125748503	0.99	1.03	1.0	1	0.207	2.0	3.0	3.0	2.0	2.0	3.0	3.0	1.0	3.0	3.0
9	9	3044	C29	3043	786.0	1492.8000488	1004.5	1229	1128.1999512	1080.08	0.1649	0.001567	-0.001382	0.000184	14.6000004	47.2000008	96	84	113	79	-0.2055	-0.177	-0.15	0.1491	0.3146	0.3782	0.465	0.3918	0.225	-0.0547	-0.2054	-0.1784	0.0561	0.4343	0.2864	-0.19298245600000002	-0.212355212	-0.21551724100000003	-0.072961373	0.016759777	0.37777777799999995	0.24705882399999998	0.058823529000000006	-0.037433155	-0.239852399	-0.15555555599999998	-0.177777778	0.038674033	0.13475177300000002	0.12345679	0.91	1.21	0.94	1	0.205	2.0	2.0	2.0	2.0	2.0	3.0	3.0	1.0	3.0	3.0
10	10	3045	C29	3044	779.7000122000001	1728.3000487999998	1043.1999512	1294	1211.4000244000001	1080.12	0.094	0.00428	-0.001075	0.003205	15.800000199999998	41.7000008	94	89	116	81	-0.1959	-0.188	-0.1519	0.1161	0.2955	0.3782	0.4684	0.3299	0.2025	-0.0452	-0.2072	-0.175	0.0698	0.4747	0.369	-0.19298245600000002	-0.209125475	-0.21702127699999998	-0.069565217	0.045454545	0.38043478299999994	0.333333333	0.047120419000000004	-0.048648649	-0.23018867899999998	-0.17582417600000003	-0.167630058	0.016574586000000002	0.160839161	0.12883435599999998	0.9	1.41	0.97	1	0.273	2.0	1.0	2.0	2.0	2.0	3.0	3.0	1.0	3.0	3.0
11	11	3046	C29	3045	782.4000244	1726.1999512000002	1013.9000243999999	1249	1193.0	1080.14	0.0912	0.004945	-0.002969	0.001977	15.199999800000002	38.0	96	87	119	82	-0.1959	-0.1864	-0.1519	0.1041	0.2697	0.3575	0.4839	0.399	0.1975	-0.0355	-0.2018	-0.1837	0.0498	0.5179	0.369	-0.19298245600000002	-0.20784313699999998	-0.21551724100000003	-0.08620689699999999	0.034883721	0.448648649	0.345238095	0.10989011	-0.053763440999999995	-0.219330855	-0.15555555599999998	-0.177142857	0.016393443	0.16438356199999998	0.100591716	0.91	1.4	0.95	1	0.258	2.0	1.0	2.0	2.0	2.0	1.0	3.0	1.0	1.0	3.0
12	12	3047	C29	3046	793.5	1656.0999755999999	1015.7999877999998	1204	1167.3000488	1080.17	0.097	0.000632	0.000287	0.000919	15.1000004	37.2999992	94	87	120	81	-0.2013	-0.1806	-0.1592	0.0909	0.2486	0.3505	0.465	0.3869	0.1975	-0.0348	-0.2159	-0.1855	0.0541	0.4974	0.3617	-0.20689655199999998	-0.218390805	-0.21551724100000003	-0.08620689699999999	0.005649718000000001	0.4375	0.36144578299999996	0.106382979	-0.052083332999999996	-0.22962963	-0.169398907	-0.163841808	0.02173913	0.18367346899999998	0.125748503	0.92	1.35	0.95	1	0.226	2.0	1.0	2.0	2.0	2.0	1.0	3.0	1.0	1.0	3.0
13	13	3048	C29	3047	775.2999877999999	1706.1999512000002	988.0	1168	1159.3000488	1080.23	0.145	0.003992	0.001317	0.005309	14.699999800000002	31.0	96	87	124	83	-0.204	-0.1861	-0.175	0.0815	0.2402	0.3604	0.434	0.36	0.2025	-0.0297	-0.2159	-0.1903	0.04	0.4592	0.3298	-0.205128205	-0.21509434	-0.219917012	-0.088607595	0.0	0.43010752700000005	0.30952381	0.08994709	-0.052083332999999996	-0.22794117600000002	-0.178378378	-0.169398907	0.027322403999999998	0.140939597	0.095238095	0.9	1.39	0.92	1	0.246	2.0	1.0	2.0	2.0	2.0	1.0	2.0	1.0	1.0	2.0
14	14	3049	C29	3048	789.7999877999999	1467.4000244000001	1001.0	1188	1111.5999755999999	1080.29	0.1633	0.003529	0.000849	0.004378	14.3999996	38.2999992	98	88	128	85	-0.2081	-0.1775	-0.1801	0.0862	0.2597	0.3469	0.441	0.36	0.1976	-0.0392	-0.2124	-0.1855	0.0308	0.466	0.2953	-0.20535714300000002	-0.20754717	-0.219917012	-0.13253012	0.0	0.404255319	0.298245614	0.08994709	-0.056994819	-0.22509225100000002	-0.178378378	-0.18032786899999997	-0.010638298000000001	0.11409396	0.057471264	0.91	1.1900001	0.93	1	0.186	2.0	2.0	2.0	2.0	2.0	1.0	2.0	1.0	1.0	2.0
15	15	3050	C29	3049	708.7000122000001	1364.5999755999999	962.2999877999998	1121	1039.1999512	1080.35	0.1741	0.004101	-0.002379	0.001721	13.800000199999998	43.2999992	94	93	126	87	-0.1973	-0.1883	-0.1779	0.0303	0.2316	0.2755	0.362	0.3069	0.1765	-0.0196	-0.2159	-0.1873	0.0175	0.4583	0.3026	-0.18974359	-0.220973783	-0.219917012	-0.12449799199999999	0.0	0.347593583	0.26436781600000003	0.06185567	-0.066666667	-0.233576642	-0.177777778	-0.18032786899999997	0.010752688	0.11258278099999999	0.064327485	0.82	1.11	0.9	1	0.181	2.0	2.0	2.0	2.0	2.0	1.0	3.0	1.0	1.0	3.0
16	16	3051	C29	3050	763.9000244	1300.1999512	1007.9000243999999	1176	1061.9000244	1080.39	0.1309	0.004983	-0.002425	0.002558	13.199999800000002	38.2999992	94	94	127	87	-0.2013	-0.1867	-0.1801	0.0439	0.2135	0.2718	0.3827	0.33	0.1953	-0.0192	-0.2105	-0.1855	0.0357	0.4479	0.3229	-0.167567568	-0.22846441899999997	-0.219917012	-0.10569105699999999	-0.015873016	0.38297872299999997	0.302325581	0.07853403099999999	-0.071428571	-0.23809523800000001	-0.164835165	-0.17127071800000002	0.0	0.11258278099999999	0.089820359	0.88	1.0599999	0.94	1	0.172	2.0	2.0	2.0	2.0	2.0	1.0	2.0	1.0	1.0	2.0
17	17	3052	C29	3051	853.4000243999999	1195.9000244000001	1030.0	1170	1062.3000488	1080.4	0.1374	-0.002629	-0.000719	-0.003349	12.8000002	37.2000008	92	92	136	91	-0.204	-0.183	-0.1698	0.0563	0.2222	0.2893	0.4024	0.3333	0.2047	-0.0192	-0.2105	-0.1855	0.0308	0.4315	0.2727	-0.177664975	-0.22846441899999997	-0.229508197	-0.1171875	-0.005291005	0.41489361700000005	0.284090909	0.07853403099999999	-0.055837563	-0.223880597	-0.18279569899999998	-0.169398907	0.010989011000000002	0.111111111	0.08045977	0.99	0.97	0.96	1	0.149	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0
18	18	3053	C29	3052	989.9000243999999	1262.0999755999999	1045.6999512	1166	1115.9000244000001	1080.47	0.2421	-0.005114	0.004176	-0.000938	11.8999996	34.7000008	86	95	134	91	-0.2053	-0.1878	-0.1707	0.0717	0.2402	0.2935	0.3976	0.3014	0.1839	-0.0874	-0.207	-0.184	0.0218	0.404	0.2438	-0.18407960199999998	-0.222222222	-0.21138211399999998	-0.13076923099999999	-0.010309278	0.340314136	0.25	0.055837563	-0.064039409	-0.23636363600000002	-0.178947368	-0.175257732	0.010989011000000002	0.10526315800000001	0.048648649	1.15	1.03	0.97	1	0.129	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0
19	19	3072	C29	3071	1087.9000244000001	1139.6999512	1050.0999756	1297	1143.5999755999999	1079.93	0.1456	0.002631	-0.003935	-0.001304	22.3999996	54.5999985	92	85	105	76	-0.1812	-0.181	-0.1677	0.1376	0.1512	0.3763	0.4805	0.3538	0.2739	-0.0505	-0.2018	-0.181	0.0233	0.3968	0.2147	-0.203539823	-0.20784313699999998	-0.205240175	-0.061403509	0.085365854	0.25	0.19298245600000002	0.0	-0.053763440999999995	-0.239543726	-0.16853932600000002	-0.135483871	-0.033707865	0.14084507	0.11627907	1.26	0.93	0.98	1	0.225	1.0	3.0	1.0	2.0	1.0	3.0	1.0	3.0	3.0	3.0
20	20	3073	C29	3072	1019.7999877999998	1238.5999755999999	1093.9000244000001	1368	1180.0	1079.96	0.0758	-0.003038	0.002461	-0.000577	24.6000004	61.5999985	92	82	103	74	-0.1884	-0.1875	-0.1447	0.2	0.314	0.4043	0.5226	0.4082	0.2387	-0.0408	-0.1963	-0.163	0.0187	0.4516	0.2461	-0.20689655199999998	-0.21400778199999998	-0.21238938100000002	-0.013824885	0.10179640699999999	0.31843575399999996	0.23636363600000002	0.037433155	-0.048648649	-0.234375	-0.169590643	-0.165644172	0.045977011	0.169014085	0.175	1.1799998999999999	1.01	1.02	1	0.219	1.0	1.0	1.0	2.0	1.0	3.0	1.0	3.0	3.0	3.0
21	21	3074	C29	3073	935.2000122000002	1556.5999755999999	1061.5	1306	1214.8000488	1079.97	0.0878	-0.005263	0.003866	-0.001397	22.6000004	50.4000015	92	85	108	74	-0.1912	-0.1818	-0.1558	0.1643	0.3099	0.3862	0.5099	0.401	0.2357	-0.0462	-0.1887	-0.1826	0.0431	0.4497	0.3298	-0.198237885	-0.209486166	-0.207207207	-0.044642857	0.117647059	0.41899441299999995	0.312883436	0.08791208800000001	-0.055555556	-0.22891566300000002	-0.164705882	-0.165644172	0.028248587999999998	0.194444444	0.210191083	1.08	1.27	0.99	1	0.189	1.0	1.0	1.0	2.0	1.0	3.0	1.0	1.0	3.0	3.0
22	22	3075	C29	3074	913.9000243999999	1554.1999512	1078.0	1365	1227.8000488	1080.01	0.1702	-0.015613	0.007941	-0.007672	19.3999996	44.0	94	82	106	74	-0.1971	-0.177	-0.1613	0.1429	0.2832	0.3542	0.451	0.3679	0.2152	-0.0297	-0.1944	-0.166	0.0415	0.4819	0.3511	-0.198237885	-0.22178988300000002	-0.21052631600000002	-0.057777777999999995	0.069767442	0.445652174	0.345238095	0.146067416	-0.048648649	-0.22047244100000002	-0.162011173	-0.157232704	0.011111111000000002	0.151079137	0.120481928	1.0599999	1.26	1.0	1	0.217	2.0	1.0	2.0	2.0	2.0	3.0	1.0	1.0	3.0	3.0
23	23	3076	C29	3075	792.5	1349.3000488	923.7000122000002	1257	1080.6999512	1080.11	0.1829	0.009218	-0.00792	0.001298	17.2000008	36.5	92	86	106	76	-0.1959	-0.188	-0.1795	0.1081	0.2809	0.3403	0.4323	0.3438	0.1656	-0.0443	-0.2018	-0.175	0.0411	0.466	0.288	-0.2	-0.22433460100000002	-0.22033898300000002	-0.07826087	0.056818182	0.420765027	0.233532934	0.068783069	-0.038251366	-0.22846441899999997	-0.164835165	-0.170454545	0.054347825999999995	0.146853147	0.064327485	0.92	1.1	0.86	1	0.224	2.0	2.0	2.0	2.0	2.0	1.0	3.0	1.0	1.0	3.0
24	24	3077	C29	3076	854.0999756000001	1314.5999755999999	993.9000243999999	1282	1111.0999755999999	1080.15	0.0581	0.000272	0.001581	0.001854	19.0	37.7000008	90	84	107	75	-0.1932	-0.1864	-0.1772	0.1019	0.2614	0.3508	0.451	0.3263	0.1875	-0.0462	-0.2072	-0.1918	0.0415	0.5183	0.3511	-0.2	-0.22178988300000002	-0.222222222	-0.061946903	0.056818182	0.374301676	0.296969697	0.021052632	-0.038674033	-0.233082707	-0.177777778	-0.162790698	0.04395604400000001	0.166666667	0.1375	0.99	1.0700001000000001	0.93	1	0.205	2.0	2.0	2.0	2.0	2.0	1.0	1.0	1.0	3.0	3.0
25	25	3078	C29	3077	898.5999756000001	1352.1999512	1080.1999512	1219	1137.5999755999999	1080.16	0.0699	-0.00861	0.00562	-0.002991	19.6000004	35.7999992	92	85	110	77	-0.1973	-0.1833	-0.1795	0.1185	0.2529	0.3508	0.4737	0.3608	0.2025	-0.0363	-0.2	-0.1967	0.0502	0.5204	0.3656	-0.19298245600000002	-0.22480620199999998	-0.212121212	-0.07826087	0.08045977	0.42222222200000004	0.33734939799999997	0.112359551	-0.033333333	-0.233082707	-0.169398907	-0.176470588	0.028248587999999998	0.15862069	0.144578313	1.04	1.1	1.01	1	0.14	2.0	1.0	2.0	2.0	2.0	1.0	1.0	1.0	3.0	3.0
26	26	3079	C29	3078	882.0999756000001	1362.9000244000001	1178.9000244000001	1251	1168.8000488	1080.19	0.0916	-0.011649	0.006901	-0.004747	18.7000008	34.7000008	94	86	115	80	-0.1932	-0.1883	-0.1895	0.1121	0.2386	0.3472	0.4805	0.3608	0.2075	-0.0348	-0.2054	-0.1799	0.0446	0.5258	0.3057	-0.187772926	-0.223076923	-0.22033898300000002	-0.081545064	0.063583815	0.44134078200000004	0.325301205	0.131868132	-0.032608696	-0.22137404600000002	-0.178378378	-0.162790698	0.027932961	0.121621622	0.153374233	1.02	1.11	1.1	1	0.142	2.0	1.0	2.0	2.0	2.0	1.0	1.0	1.0	3.0	3.0
27	27	3080	C29	3079	792.2000122000001	1229.5	1016.2999877999998	1179	1054.3000488	1080.25	0.1588	-0.008688	0.003831	-0.004857	19.3999996	35.2999992	94	84	122	82	-0.1797	-0.1814	-0.1871	0.0578	0.2343	0.3163	0.4359	0.3641	0.1829	-0.02	-0.2124	-0.1984	0.04	0.4721	0.3476	-0.206751055	-0.226765799	-0.225	-0.13253012	0.022222222000000003	0.396825397	0.27380952399999997	0.131868132	-0.031914894	-0.235294118	-0.178378378	-0.175141243	0.049180327999999995	0.10666666699999999	0.056818182	0.92	1.0	0.95	1	0.165	2.0	1.0	1.0	2.0	1.0	1.0	2.0	1.0	1.0	2.0
28	28	3081	C29	3080	771.7999877999999	1195.5	972.0	1131	1017.5	1080.33	0.165	0.002657	-0.001599	0.001058	17.2999992	33.9000015	96	85	123	82	-0.1973	-0.1883	-0.195	0.0303	0.2402	0.3093	0.3951	0.3234	0.1856	-0.0297	-0.2105	-0.1807	0.0268	0.5079	0.3026	-0.19819819800000002	-0.22727272699999998	-0.226337449	-0.139534884	-0.005464481	0.387978142	0.263157895	0.10752688199999999	-0.046632124000000004	-0.222222222	-0.178378378	-0.18032786899999997	0.027322403999999998	0.11409396	0.034090908999999996	0.89	0.97	0.91	1	0.152	2.0	2.0	2.0	2.0	2.0	1.0	2.0	2.0	1.0	2.0
29	29	3082	C29	3081	751.4000244	1159.5	963.4000243999999	1189	1015.9000243999999	1080.4	0.111	0.010541	-0.004673	0.005868	16.5	34.0	94	87	122	85	-0.1987	-0.2032	-0.205	0.0396	0.1886	0.285	0.362	0.2941	0.1617	-0.0392	-0.2159	-0.187	0.0308	0.4555	0.3651	-0.18974359	-0.22137404600000002	-0.21666666699999998	-0.10483871	-0.010638298000000001	0.35135135100000003	0.245714286	0.041237113	-0.052083332999999996	-0.22509225100000002	-0.177777778	-0.177777778	0.010989011000000002	0.11258278099999999	0.064327485	0.87	0.94	0.9	1	0.195	2.0	2.0	2.0	2.0	2.0	1.0	2.0	1.0	1.0	2.0
30	30	3083	C29	3082	760.2999877999999	1267.5	1007.4000243999999	1216	1062.8000488	1080.43	0.0624	0.004441	-0.002809	0.001633	15.3999996	30.899999600000005	92	92	124	84	-0.1959	-0.192	-0.195	0.04	0.1886	0.2589	0.362	0.2906	0.1667	-0.0392	-0.2159	-0.1968	0.0396	0.4286	0.3299	-0.16842105300000001	-0.23134328399999998	-0.21008403399999998	-0.10569105699999999	0.031914894	0.36956521700000006	0.275862069	0.057591623	-0.046632124000000004	-0.23420074300000002	-0.164835165	-0.182320442	0.005524861999999999	0.146666667	0.076923077	0.88	1.03	0.94	1	0.195	2.0	2.0	2.0	2.0	2.0	1.0	2.0	1.0	1.0	2.0
31	31	3084	C29	3083	772.0	1370.6999512	1000.2999877999998	1106	1062.1999512	1080.45	0.0889	-0.003815	0.002993	-0.000822	14.0	32.4000015	92	94	129	86	-0.1973	-0.1934	-0.1899	0.0439	0.2067	0.2755	0.3697	0.3171	0.2071	-0.0286	-0.2124	-0.166	0.0354	0.4508	0.3061	-0.16923076899999998	-0.22962963	-0.21666666699999998	-0.10588235300000001	-0.0050761420000000005	0.38297872299999997	0.275862069	0.057591623	-0.06122449	-0.223880597	-0.164835165	-0.176470588	0.0	0.11842105300000001	0.064327485	0.89	1.11	0.93	1	0.147	2.0	2.0	2.0	2.0	2.0	1.0	2.0	1.0	1.0	2.0
32	32	3085	C29	3084	743.7000122000001	1230.4000244000001	990.0	1108	1017.9000243999999	1080.52	0.2086	-0.003706	0.003509	-0.000196	11.8000002	32.799999199999995	92	89	131	89	-0.196	-0.1861	-0.1801	0.0776	0.1889	0.3131	0.3735	0.3143	0.186	-0.0526	-0.2105	-0.1873	0.0043	0.4346	0.2451	-0.19	-0.21641791	-0.209876543	-0.12121212099999999	-0.02	0.37894736799999995	0.224719101	0.067357513	-0.065326633	-0.233576642	-0.178378378	-0.18556701	0.0	0.124183007	0.052023121	0.86	1.0	0.92	1	0.148	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0
33	33	3086	C29	3085	848.5	1175.5	1019.9000243999999	1196	1059.9000244	1080.62	0.143	0.009233	-0.008218	0.001015	11.1999998	28.600000399999995	90	89	134	87	-0.2053	-0.1911	-0.1687	0.0932	0.2527	0.3131	0.4048	0.3077	0.1932	-0.0616	-0.2121	-0.1811	-0.0172	0.3927	0.2626	-0.19	-0.22962963	-0.21632653100000002	-0.122137405	0.010309278	0.309278351	0.233333333	0.02970297	-0.079207921	-0.22794117600000002	-0.178378378	-0.18367346899999998	-0.038251366	0.122580645	0.111111111	0.98	0.96	0.95	1	0.164	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0
34	34	3108	C29	3107	877.2000122000002	1246.5999755999999	1021.5	1238	1095.9000244000001	1079.99	0.0962	0.007153	-0.004677	0.002475	22.0	54.29999920000001	96	85	114	76	-0.1661	-0.1848	-0.1447	0.1613	0.1043	0.369	0.4118	0.3436	0.1975	-0.0452	-0.1963	-0.1709	0.0	0.4074	0.2103	-0.203539823	-0.21875	-0.20704845800000002	-0.039647577	0.064327485	0.34444444399999996	0.20958083800000002	0.020618557	-0.063157895	-0.223076923	-0.16853932600000002	-0.14285714300000002	0.02247191	0.13475177300000002	0.1375	1.01	1.01	0.95	1	0.177	1.0	1.0	1.0	2.0	1.0	3.0	3.0	1.0	3.0	3.0
35	35	3109	C29	3108	955.5	1358.1999512	986.2999877999998	1140	1110.0999755999999	1080.01	0.1153	-0.001729	0.001473	-0.000255	21.7000008	42.7000008	94	85	111	76	-0.2014	-0.1878	-0.1429	0.1675	0.3179	0.3651	0.4771	0.4043	0.2102	-0.0816	-0.1831	-0.1709	0.0233	0.4404	0.2396	-0.198237885	-0.209486166	-0.212121212	-0.013824885	0.097142857	0.374301676	0.20958083800000002	0.03626943	-0.042553191	-0.234848485	-0.165714286	-0.16167664699999998	0.071823204	0.183098592	0.134146341	1.11	1.1	0.92	1	0.128	1.0	1.0	1.0	2.0	1.0	3.0	1.0	1.0	3.0	3.0
36	36	3110	C29	3109	1034.0	1258.5999755999999	1152.9000244000001	1292	1184.5	1080.03	0.1323	-0.002725	0.001043	-0.001681	22.5	38.9000015	94	84	111	74	-0.2	-0.1806	-0.172	0.1635	0.2832	0.383	0.4902	0.3895	0.2025	-0.0505	-0.1963	-0.1745	0.0137	0.5026	0.299	-0.205240175	-0.211155378	-0.2	-0.044642857	0.090909091	0.444444444	0.28143712600000004	0.136612022	-0.059459459000000006	-0.23255814	-0.15789473699999998	-0.165644172	0.04395604400000001	0.202797203	0.210191083	1.2	1.02	1.0700001000000001	1	0.17	1.0	1.0	1.0	2.0	1.0	3.0	1.0	1.0	3.0	3.0
37	37	3111	C29	3110	1055.6999512	1385.5999755999999	1162.3000488	1230	1208.4000244000001	1080.07	0.1908	-0.007868	0.004087	-0.003781	20.7000008	38.4000015	94	82	107	75	-0.1971	-0.1775	-0.1634	0.128	0.2907	0.3717	0.5032	0.3949	0.2152	-0.0256	-0.1944	-0.1695	0.0521	0.4974	0.369	-0.203539823	-0.22957198399999998	-0.201754386	-0.057777777999999995	0.045454545	0.436464088	0.33727810700000005	0.09677419400000001	-0.04395604400000001	-0.2265625	-0.163841808	-0.161290323	0.027932961	0.177304965	0.190184049	1.22	1.13	1.08	1	0.11	1.0	1.0	2.0	2.0	1.0	3.0	1.0	1.0	3.0	3.0
38	38	3112	C29	3111	860.0	1633.0999755999999	986.4000243999999	1105	1146.1999512	1080.14	0.1583	0.004237	-0.007815	-0.003578	19.6000004	38.5	90	85	107	76	-0.1916	-0.1864	-0.1765	0.1226	0.2686	0.3613	0.451	0.3854	0.1875	-0.0722	-0.2	-0.1784	0.0605	0.5026	0.3511	-0.198237885	-0.215686275	-0.21551724100000003	-0.07826087	0.05027933	0.423728814	0.272727273	0.07027027	-0.038674033	-0.231939163	-0.162011173	-0.163636364	0.049723757	0.169014085	0.125748503	1.0	1.33	0.92	1	0.187	2.0	1.0	1.0	2.0	2.0	3.0	1.0	1.0	3.0	3.0
39	39	3113	C29	3112	834.2000122000001	1688.6999512000002	1029.4000244	1146	1174.5999755999999	1080.19	0.0862	0.007999	-0.005299	0.0027	20.0	40.4000015	90	86	112	76	-0.1932	-0.1864	-0.1842	0.1304	0.2601	0.3542	0.4474	0.3263	0.2025	-0.0526	-0.2054	-0.1784	0.0455	0.5258	0.3333	-0.198237885	-0.214285714	-0.21551724100000003	-0.061946903	0.063583815	0.36956521700000006	0.305389222	0.117318436	-0.04395604400000001	-0.223076923	-0.16853932600000002	-0.16167664699999998	0.06741573	0.15862069	0.1375	0.97	1.37	0.96	1	0.203	2.0	1.0	1.0	2.0	2.0	1.0	1.0	1.0	3.0	3.0
